Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2025-01-04T15:00+01:00,29220.20256,17403.92972,138.72
2025-01-04T16:00+01:00,29385.04646,17222.39518,142
2025-01-04T17:00+01:00,29717.89883,17886.90233,151.24
2025-01-04T18:00+01:00,29672.75633,18437.70922,143.85
2025-01-04T19:00+01:00,29314.88763,18950.89545,137.96
2025-01-04T20:00+01:00,28590.39458,18727.8744,129.49
2025-01-04T21:00+01:00,27467.27894,18718.03875,122.83
2025-01-04T22:00+01:00,25846.55847,18365.06844,118.29
2025-01-04T23:00+01:00,24599.56217,17743.78723,109.49
2025-01-05T00:00+01:00,23322.06227,16459.1242,113.84
2025-01-05T01:00+01:00,22005.0699,16258.42473,100.33
2025-01-05T02:00+01:00,21307.80741,15801.15273,93.61
2025-01-05T03:00+01:00,20317.4095,14817.18628,93.87
2025-01-05T04:00+01:00,19833.04489,15204.64659,89.38
2025-01-05T05:00+01:00,19689.09053,16794.79508,83.55
2025-01-05T06:00+01:00,19242.61788,18888.49915,83.92
2025-01-05T07:00+01:00,19213.14904,22021.97434,82.53
2025-01-05T08:00+01:00,19584.33893,26070.87569,84.05
2025-01-05T09:00+01:00,19735.92536,29457.05588,89.15
2025-01-05T10:00+01:00,19912.09646,33138.55242,82.95
2025-01-05T11:00+01:00,19071.46578,35832.86759,88.82
2025-01-05T12:00+01:00,18669.10538,37575.49234,81.66
2025-01-05T13:00+01:00,17397.17691,38420.92203,78.39
2025-01-05T14:00+01:00,16790.762,39159.92055,68
2025-01-05T15:00+01:00,15952.62141,39711.56943,50.64
2025-01-05T16:00+01:00,15856.53524,41708.51919,49.91
2025-01-05T17:00+01:00,15669.65329,43264.41995,66.3
2025-01-05T18:00+01:00,15280.628,43399.41162,65.05
2025-01-05T19:00+01:00,14023.32951,43126.42409,51.28
2025-01-05T20:00+01:00,12859.42189,42297.00612,36.85
2025-01-05T21:00+01:00,12773.64389,41619.79035,36.8
2025-01-05T22:00+01:00,13128.67878,40251.47533,34.68
2025-01-05T23:00+01:00,12220.11727,39763.94472,28.14
2025-01-06T00:00+01:00,10108.15766,40894.29829,27.52
2025-01-06T01:00+01:00,10137.00473,41482.72248,19.26
2025-01-06T02:00+01:00,10396.36006,42722.83754,11.35
2025-01-06T03:00+01:00,10430.04141,44432.30759,9.2
2025-01-06T04:00+01:00,10426.68576,45691.53821,10
2025-01-06T05:00+01:00,10320.24605,47211.53869,14.81
2025-01-06T06:00+01:00,10482.80087,48472.31798,23.82
2025-01-06T07:00+01:00,11231.28004,49856.22228,31.72
2025-01-06T08:00+01:00,11976.03396,50327.46711,41.37
2025-01-06T09:00+01:00,12253.78643,53164.20579,36.36
2025-01-06T10:00+01:00,11534.19087,57020.83784,34.69
2025-01-06T11:00+01:00,10930.96256,60377.82443,32.83
2025-01-06T12:00+01:00,10686.43921,61846.52489,31.28
2025-01-06T13:00+01:00,10539.66389,61639.4464,28.6
2025-01-06T14:00+01:00,10902.21079,59192.0038,25.61
2025-01-06T15:00+01:00,11273.33795,55423.53297,26.32
2025-01-06T16:00+01:00,11676.47646,54274.57493,26.87
2025-01-06T17:00+01:00,12740.01171,54361.65747,31.66
2025-01-06T18:00+01:00,14272.8695,52579.77088,31.58
2025-01-06T19:00+01:00,14872.45106,52835.74719,28.74
2025-01-06T20:00+01:00,15154.60217,52250.36387,26.59
2025-01-06T21:00+01:00,14883.87284,51102.37255,13.82
2025-01-06T22:00+01:00,14170.14116,48734.6507,26.94
2025-01-06T23:00+01:00,13466.74675,48117.58303,12.99
2025-01-07T00:00+01:00,11903.89031,48665.74703,19.07
2025-01-07T01:00+01:00,11139.25199,48058.68621,8.71
2025-01-07T02:00+01:00,11130.09414,47994.64476,8.9
2025-01-07T03:00+01:00,11190.60043,47945.50888,5.01
2025-01-07T04:00+01:00,11281.87261,47760.42387,5.13
2025-01-07T05:00+01:00,12447.31937,47010.28295,5.8
2025-01-07T06:00+01:00,14444.47691,47919.60703,48.86
2025-01-07T07:00+01:00,17631.65755,47778.03544,76.83
2025-01-07T08:00+01:00,18722.58079,48512.8291,85.08
2025-01-07T09:00+01:00,19137.71425,49765.17474,84.24
2025-01-07T10:00+01:00,18577.86079,52630.28739,75.25
2025-01-07T11:00+01:00,17655.28886,55473.30905,62.8
2025-01-07T12:00+01:00,17253.71548,56352.04106,62.44
2025-01-07T13:00+01:00,16920.49298,55050.25931,63.9
2025-01-07T14:00+01:00,17027.61723,51628.17286,72.56
2025-01-07T15:00+01:00,17776.36753,47231.49879,78.11
2025-01-07T16:00+01:00,18632.33368,45453.20197,79.98
2025-01-07T17:00+01:00,20221.67719,46959.90574,96.03
2025-01-07T18:00+01:00,21015.70334,47503.96705,101.11
2025-01-07T19:00+01:00,21188.36945,46634.34792,86.21
2025-01-07T20:00+01:00,21069.10288,47149.74141,78.01
2025-01-07T21:00+01:00,20611.08096,47008.41232,72.45
